replication,degree,method,selected_bandwidth,query_x,oracle_decision,estimated_decision,pointwise_excess_risk
0,2,KPQR-2,0.25,0.26,2.8520362436737248,2.833174780091138,0.00017787740423862164
0,2,KPQR-2,0.25,0.272,2.901548039576489,2.8814290679323173,0.00020238651000949182
0,2,KPQR-2,0.25,0.28400000000000003,2.9533034986401567,2.9307361203362365,0.0002546432817561173
0,2,KPQR-2,0.25,0.29600000000000004,3.0072888640581694,2.9816116340175642,0.00032966007127907537
0,2,KPQR-2,0.25,0.30800000000000005,3.063489990975793,3.0320893110849703,0.0004930013488029655
0,2,KPQR-2,0.25,0.32,3.121892311652533,3.0834775299139348,0.0007378477280120671
0,2,KPQR-2,0.25,0.332,3.182480795073476,3.1331649628759988,0.0012160256526648483
0,2,KPQR-2,0.25,0.34400000000000003,3.245239899685132,3.179278877523892,0.0021754282222778143
0,2,KPQR-2,0.25,0.35600000000000004,3.3101535174947005,3.242487876548701,0.0022893194823164764
0,2,KPQR-2,0.25,0.36800000000000005,3.377204907144751,3.3085312425513003,0.0023580361043469
0,2,KPQR-2,0.25,0.38,3.446376612651597,3.3792471428874,0.0022531828554111233
0,2,KPQR-2,0.25,0.392,3.5176503630928884,3.4502709814155854,0.0022699905376078328
0,2,KPQR-2,0.25,0.404,3.5910069463229837,3.5274216976776875,0.0020215419226420617
0,2,KPQR-2,0.25,0.41600000000000004,3.6664260461728446,3.603783232025054,0.0019620610821773354
0,2,KPQR-2,0.25,0.42800000000000005,3.743886026334887,3.6915192484871953,0.001371139711074748
0,2,KPQR-2,0.25,0.44,3.823363632614804,3.7748203788311034,0.0011782237439543902
0,2,KPQR-2,0.25,0.452,3.9048335622179935,3.862618579765189,0.0008910523717452906
0,2,KPQR-2,0.25,0.464,3.9882677974217096,3.955089002771884,0.000550416207207638
0,2,KPQR-2,0.25,0.47600000000000003,4.073634467072593,4.045914213633739,0.00038420622535716153
0,2,KPQR-2,0.25,0.48800000000000004,4.160895548819313,4.143969289403963,0.0001432491288978488
0,2,KPQR-2,0.25,0.5,4.25,4.234922374118233,0.00011366740111524998
0,2,KPQR-2,0.25,0.512,4.340895548819312,4.328421300903503,7.780343053254146e-05
0,2,KPQR-2,0.25,0.524,4.433634467072594,4.423196746954174,5.447300063522731e-05
0,2,KPQR-2,0.25,0.536,4.5282677974217105,4.520402768174545,3.092934252939272e-05
0,2,KPQR-2,0.25,0.548,4.624833562217995,4.6205239402186,9.286420888834912e-06
0,2,KPQR-2,0.25,0.56,4.723363632614804,4.721140813115618,2.4704632629740653e-06
0,2,KPQR-2,0.25,0.5720000000000001,4.823886026334886,4.824543231910148,2.1595958407671922e-07
0,2,KPQR-2,0.25,0.5840000000000001,4.926426046172846,4.929986648902975,6.3389459009077775e-06
0,2,KPQR-2,0.25,0.5960000000000001,5.031006946322984,5.037419167385932,2.0558289480054892e-05
0,2,KPQR-2,0.25,0.608,5.137650363092889,5.139331165355178,1.4125481224563918e-06
0,2,KPQR-2,0.25,0.62,5.246376612651597,5.250678141234499,9.251574074775615e-06
0,2,KPQR-2,0.25,0.632,5.357204907144751,5.3622633542294125,1.2793943454159074e-05
0,2,KPQR-2,0.25,0.644,5.4701535174947,5.47881159046761,3.7481113802126376e-05
0,2,KPQR-2,0.25,0.656,5.585239899685132,5.595201574788558,4.9617485433098296e-05
0,2,KPQR-2,0.25,0.668,5.702480795073476,5.713642706092971,6.229412880355556e-05
0,2,KPQR-2,0.25,0.68,5.821892311652533,5.833730601990965,7.00725590684903e-05
0,2,KPQR-2,0.25,0.6920000000000001,5.9434899909757934,5.957257058403435,9.476607277862648e-05
0,2,KPQR-2,0.25,0.7040000000000001,6.06728886405817,6.0819416076400135,0.00010735144723761358
0,2,KPQR-2,0.25,0.7160000000000001,6.193303498640157,6.207134486796538,9.564811669098006e-05
0,2,KPQR-2,0.25,0.728,6.321548039576489,6.3390831617591505,0.00015374025498043897
0,2,KPQR-2,0.25,0.74,6.452036243673724,6.469774765693057,0.00015732758171516092
0,2,KPQR-2,0.25,0.752,6.584781509990025,6.603598028589081,0.00017703068609431494
0,2,KPQR-2,0.25,0.764,6.719796906384211,6.739692199772752,0.00019791134950807032
0,2,KPQR-2,0.25,0.776,6.857095192933862,6.881411632962618,0.0002956446278360447
0,2,KPQR-2,0.25,0.788,6.996688842716357,7.022267087504118,0.0003271233032113158
0,2,KPQR-2,0.25,0.8,7.138590060350931,7.168911469088728,0.0004596939139222822
0,2,KPQR-2,0.25,0.812,7.282810798625652,7.317051264495915,0.0005862047515063223
0,2,KPQR-2,0.25,0.8240000000000001,7.429362773475383,7.463899876100491,0.0005964057288686542
0,2,KPQR-2,0.25,0.8360000000000001,7.578257477531024,7.612590802025131,0.000589388585408801
0,2,KPQR-2,0.25,0.8480000000000001,7.729506192423942,7.763362526349409,0.0005731256734363699
0,2,KPQR-2,0.25,0.86,7.88312,7.91594660610759,0.0005387930342714287
0,2,KPQR-2,0.25,0.872,8.039109792573974,8.072197131660387,0.0005473860039096196
0,2,KPQR-2,0.25,0.884,8.197486282335477,8.232687971110794,0.0006195794463171311
0,2,KPQR-2,0.25,0.896,8.358260010001581,8.393401069276699,0.0006174470234886625
0,2,KPQR-2,0.25,0.908,8.521441352798046,8.55628432032127,0.000607016192912202
0,2,KPQR-2,0.25,0.92,8.68704053183983,8.720588483839597,0.0005627325416893147
0,2,KPQR-2,0.25,0.932,8.855067618972427,8.877748453238036,0.00025721012149200473
0,2,KPQR-2,0.25,0.9440000000000001,9.025532543127563,9.0491511042624,0.00027891821504001657
0,2,KPQR-2,0.25,0.9560000000000001,9.198445096240231,9.223129492612337,0.00030465971212761955
0,2,KPQR-2,0.25,0.9680000000000001,9.373814938768296,9.399683618287844,0.0003345942900425114
0,2,KPQR-2,0.25,0.98,9.551651604851093,9.578813481288924,0.0003688837658119698
