Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,1e-05,80,6.887711524963379,6.383991133045147,0.1259300979795579
512-512-512,0.001,1e-05,80,7.436546802520752,6.8634627830278525,0.14327100487322486
512-512-512,0.001,1e-05,80,8.59009838104248,9.015466140245245,0.3190258194020732
512-512-512,0.001,1e-05,80,8.93147087097168,8.864919602511321,0.016637817115089604
512-512-512,0.001,1e-05,80,3.4180047512054443,3.203371313662972,0.05365835938561814
512-512-512,0.001,1e-05,80,7.946630954742432,8.324747006933407,0.2835870391432316
512-512-512,0.001,1e-05,80,7.786968231201172,7.536082215663115,0.06272150388451414
512-512-512,0.001,1e-05,80,7.944544315338135,8.101322795300145,0.117583859971508
512-512-512,0.001,1e-05,80,9.805959701538086,9.870379152808374,0.048314588452715856
512-512-512,0.001,1e-05,80,6.9585161209106445,7.099170262625254,0.10549060628595708
512-512-512,0.001,1e-05,80,9.447761535644531,9.318970689014126,0.032197711657601324
512-512-512,0.001,1e-05,80,6.79546594619751,6.443164289704476,0.08807541412325848
512-512-512,0.001,1e-05,80,7.483436584472656,7.167689467786262,0.07893677917159847
512-512-512,0.001,1e-05,80,7.8847503662109375,7.429824270030658,0.11373152404506981
512-512-512,0.001,1e-05,80,7.824153900146484,7.683436113973354,0.035179446543282644
512-512-512,0.001,1e-05,80,8.616096496582031,8.008962228934738,0.15178356691182326
512-512-512,0.001,1e-05,80,8.741832733154297,8.414837067113044,0.08174891651031313
512-512-512,0.001,1e-05,80,6.135588645935059,6.088651415549708,0.011734307596337645
512-512-512,0.001,1e-05,80,7.069425582885742,7.538343371699826,0.3516883416105627
512-512-512,0.001,1e-05,80,9.034005165100098,9.007300851897442,0.006676078300663857
512-512-512,0.001,1e-05,80,7.183596134185791,6.843425566515416,0.08504264191759381
512-512-512,0.001,1e-05,80,6.774515628814697,6.732047973766787,0.010616913761977598
512-512-512,0.001,1e-05,80,5.240996360778809,5.11564684286877,0.031337379477509586
512-512-512,0.001,1e-05,80,7.181325435638428,7.11146592446746,0.017464877792741973
512-512-512,0.001,1e-05,80,5.342426300048828,5.37577199301287,0.02500926972303108
512-512-512,0.001,1e-05,80,8.019706726074219,7.5357604087310435,0.12098657933579382
512-512-512,0.001,1e-05,80,6.646923065185547,6.97494712657031,0.24601804603857236
512-512-512,0.001,1e-05,80,4.340887546539307,3.420530549713156,0.23008924920653762
512-512-512,0.001,1e-05,80,6.361379623413086,6.210009566539162,0.03784251421848106
512-512-512,0.001,1e-05,80,6.076665878295898,6.0280639981011035,0.012150470048698736
512-512-512,0.001,1e-05,80,7.897398948669434,7.773180963036573,0.031054496408215115
512-512-512,0.001,1e-05,80,7.890220642089844,8.191943497633943,0.22629214165807454
512-512-512,0.001,1e-05,80,8.020822525024414,7.576219811959024,0.11115067826634761
512-512-512,0.001,1e-05,80,7.042210578918457,7.020895751196247,0.00532870693055254
512-512-512,0.001,1e-05,80,8.640436172485352,8.168250185049896,0.11804649685886393
512-512-512,0.001,1e-05,80,9.572298049926758,9.530110219876384,0.01054695751259338
512-512-512,0.001,1e-05,80,7.460729122161865,7.1181673437864985,0.08564044459384168
512-512-512,0.001,1e-05,80,6.129843235015869,6.210112356952529,0.060201841452495186
512-512-512,0.001,1e-05,80,6.584577560424805,6.543433048526437,0.01028612797459183
512-512-512,0.001,1e-05,80,5.576910972595215,5.084994289786552,0.12297917070216569
512-512-512,0.001,1e-05,80,8.78551197052002,9.171150127171066,0.28922861748828455
