Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
1.0,1e-06,9.455731968538567,9.930698177872015,0.35622465700008643
1.0,1e-06,9.920153840895626,9.473077452974016,0.1117690969804026
1.0,1e-06,9.694750713293512,9.43249929018964,0.06556285577596821
1.0,1e-06,8.619319398976613,8.551980483987329,0.01683472874732095
1.0,1e-06,8.669718945523435,8.80928584941888,0.1046751779215831
1.0,1e-06,5.973024525124422,6.385724131890909,0.30952470507486507
1.0,1e-06,6.846588879454709,6.872951035422976,0.019771616976200557
1.0,1e-06,5.350019247072102,5.263380228990835,0.021659754520316765
1.0,1e-06,7.220488914220731,7.423233569608849,0.15205849154108853
1.0,1e-06,10.966730217121855,10.890334868660172,0.019098837115420597
1.0,1e-06,6.433170288421505,5.735173615081439,0.17449916833501655
1.0,1e-06,8.479478314495925,8.249747608020211,0.05743267661892837
1.0,1e-06,7.464999842969293,7.343591185335036,0.030352164408564253
1.0,1e-06,7.81968362704062,7.365278890672127,0.11360118409212316
1.0,1e-06,8.067679013306218,8.00285218559899,0.016206706926807257
1.0,1e-06,5.180627713717932,5.020984994559932,0.039910679789500136
1.0,1e-06,6.265560958515517,5.956692560065379,0.07721709961253453
1.0,1e-06,6.585888742657756,6.425059695175099,0.04020726187066437
1.0,1e-06,8.513529203593452,8.025484826113523,0.12201109436998214
1.0,1e-06,7.112510218595128,7.213789569884572,0.07595951346708274
1.0,1e-06,5.736882638284422,5.523403905443636,0.05336968321019664
1.0,1e-06,6.189494537787626,5.697864977321483,0.12290739011653562
1.0,1e-06,5.297888409452266,4.562632537969936,0.18381396787058257
1.0,1e-06,6.4348759196181025,6.27251584001881,0.04059001989982303
1.0,1e-06,5.8656079381483925,5.415739760521207,0.11246704440679633
1.0,1e-06,7.066966770254609,7.173460750936641,0.07987048551152398
1.0,1e-06,9.12367147704818,8.793317209054667,0.08258856699837835
1.0,1e-06,9.923711479704282,10.196682745246772,0.20472844915686705
1.0,1e-06,8.781952041128406,8.106408240046905,0.16888595027037523
1.0,1e-06,7.067548957384426,7.408194536287191,0.2554841841770732
1.0,1e-06,8.632208502207282,8.870549964667548,0.17875609684519933
1.0,1e-06,6.711730162028378,6.8049752324908095,0.06993380284682393
1.0,1e-06,7.565069798267892,7.713501637031823,0.11132387907294805
1.0,1e-06,7.772955762600713,7.262666689517127,0.1275722682708964
1.0,1e-06,5.0287625034204515,4.653085428994138,0.0939192686065784
1.0,1e-06,7.949707910172357,7.92590815938954,0.005949937695704177
1.0,1e-06,6.165905639459639,6.564712945609728,0.2991054796125667
1.0,1e-06,3.4861211708363005,3.530516453721837,0.033296462164152385
1.0,1e-06,7.651748483157537,7.715289532220308,0.0476557867970786
1.0,1e-06,7.175107622201194,7.200426203423361,0.018988935916625094
1.0,1e-06,8.817788550632468,8.791796225603905,0.0064980812571406865
1.0,1e-06,8.761813361718712,8.786531945122006,0.01853893755247027
1.0,1e-06,6.963309874189306,6.94135163671909,0.005489559367553909
1.0,1e-06,8.160086559079168,8.305119227787676,0.1087745015313808
1.0,1e-06,6.251798704542017,6.355864621008035,0.07804943734951353
1.0,1e-06,6.885655671000393,6.8005375360557405,0.021279533736163092
1.0,1e-06,5.905343192023523,5.744998535900853,0.04008616403066734
1.0,1e-06,7.138897599578518,6.925321769345664,0.053393957558213634
1.0,1e-06,9.041534775404362,9.16273804496814,0.0909024521728341
1.0,1e-06,8.309033832578823,8.546967488887883,0.1784502422317953
1.0,1e-06,6.108861261204304,5.997106747557774,0.027938628411632305
1.0,1e-06,8.546457088284402,8.070276633366737,0.1190451137294164
1.0,1e-06,9.666124403227869,9.77612862194492,0.08250316403778868
1.0,1e-06,7.361335242920674,7.551467465469158,0.14259916691136287
1.0,1e-06,9.107373555383921,9.093303898713945,0.0035174141674940707
1.0,1e-06,6.793534526913435,6.815129201068914,0.0161960056166095
1.0,1e-06,6.294448652924231,6.542099313315645,0.18573799529356028
1.0,1e-06,9.569932443555674,9.4523196944982,0.029403187264368302
1.0,1e-06,8.295333657475439,7.560958444570795,0.18359380322616103
1.0,1e-06,10.590638866609899,10.342192482267883,0.06211159608550387
1.0,1e-06,4.10772471412987,3.9279076409176703,0.04495426830304994
1.0,1e-06,5.886198975395505,5.5703842201418,0.07895368881342635
1.0,1e-06,8.672150583046982,8.487969920570093,0.04604516561922223
1.0,1e-06,5.237164771695845,5.054144127736041,0.045755160989950916
1.0,1e-06,4.0265885816592615,3.7674160770169016,0.06479312616058996
1.0,1e-06,6.539675047912839,6.411295458424788,0.032094897372012765
1.0,1e-06,5.534516340574212,5.112030382241862,0.10562148958308759
1.0,1e-06,7.494811572726119,7.8071781402019615,0.23427492560688168
1.0,1e-06,7.9732126604690166,8.15942008296193,0.13965556686968483
1.0,1e-06,7.588470518860161,7.3151836527999565,0.06832171651505115
1.0,1e-06,8.068456088101982,7.985019646175103,0.020859110481719734
1.0,1e-06,8.750794418091095,8.541699347153186,0.05227376773447734
1.0,1e-06,7.56953150792471,7.545979128993981,0.005888094732682259
1.0,1e-06,8.130107637764022,8.350365388330648,0.16519331292496942
1.0,1e-06,8.002485182050728,8.148050078140674,0.1091736720674592
1.0,1e-06,5.660904117055729,5.397950159513515,0.06573848938555349
1.0,1e-06,8.80246917947362,8.78637874426538,0.00402260880206029
1.0,1e-06,7.567631303427895,7.176670742738655,0.09774014017230992
1.0,1e-06,8.588276357708658,8.217247849618442,0.09275712702255401
1.0,1e-06,5.785074736160359,5.80860122373107,0.017644865678032806
1.0,1e-06,6.564557450150867,6.880639743582026,0.23706172007336934
1.0,1e-06,7.143375471695073,6.85236965829204,0.07275145335075828
1.0,1e-06,7.428132868514529,7.048708403053085,0.09485611636536118
1.0,1e-06,6.892274877169017,6.51216800967165,0.09502671687434172
1.0,1e-06,9.12077812798093,9.244076364582,0.09247367745080215
1.0,1e-06,6.725116280611781,6.393425079113595,0.08292280037454636
1.0,1e-06,5.689211442400397,5.667811103104841,0.00535008482388899
1.0,1e-06,7.297584980989223,7.24592786194818,0.012914279760260605
1.0,1e-06,5.000758665542723,4.01826764720945,0.24562275458331828
1.0,1e-06,7.078992309345826,6.434200708320434,0.16119790025634795
1.0,1e-06,7.2930405208631495,6.990436478158794,0.07565101067608881
1.0,1e-06,7.538576909441895,7.170344442887043,0.0920581166387131
1.0,1e-06,7.924784512790794,8.009602865449033,0.06361376449367917
1.0,1e-06,6.797574508966763,6.9623280645458845,0.12356516668434114
1.0,1e-06,6.306814378741065,5.80182817019759,0.12624655213586888
1.0,1e-06,7.947513981686555,8.24223128253128,0.2210379756335441
1.0,1e-06,6.842509525987055,6.29782538303536,0.13617103573792377
1.0,1e-06,7.5404725199434,7.368589128841606,0.04297084777544846
1.0,1e-06,8.69717607092795,8.401140217620547,0.07400896332685081
1.0,1e-06,7.908722436948198,7.747765209751571,0.04023930679915666
1.0,1e-06,7.834522380728696,7.741810093515511,0.02317807180329634
1.0,1e-06,5.2989716154683055,5.443594137815997,0.10846689176076851
1.0,1e-06,8.660446432527007,8.664953726362185,0.003380470376384004
1.0,1e-06,4.6815769941665835,4.478481250425006,0.050773935935394254
1.0,1e-06,7.882460730550319,7.51635759561124,0.09152578373476983
1.0,1e-06,9.29992702983683,8.620607039645476,0.16982999754783856
1.0,1e-06,8.933559728899574,8.71929616888488,0.05356589000367373
1.0,1e-06,9.350232353181958,9.35757307294886,0.005505539825175987
1.0,1e-06,6.990471536010126,6.378058905366237,0.15310315766097227
1.0,1e-06,8.881630935766463,8.842617148654597,0.009753446777966523
1.0,1e-06,6.670584941113763,6.209453367632717,0.11528289337026143
1.0,1e-06,8.049472083523405,8.03238604788287,0.004271508910133726
1.0,1e-06,6.045954441709455,5.71658446288486,0.08234249470614863
1.0,1e-06,7.398269689601886,6.586987646546545,0.20282051076383523
1.0,1e-06,7.9938747304388205,7.829083796012368,0.04119773360661316
1.0,1e-06,7.259946467418542,7.098112791051927,0.04045841909165393
1.0,1e-06,4.473363322543294,4.394435207063624,0.01973202886991765
1.0,1e-06,7.470812091769602,7.480102892722788,0.0069681007148891805
1.0,1e-06,5.8204303294248945,5.6847785115510625,0.03391295446845799
1.0,1e-06,5.989481244436727,5.963006293659571,0.006618737694289001
1.0,1e-06,7.20857953094027,6.663885272444649,0.13617356462390529
1.0,1e-06,5.322337403080372,5.191892494619577,0.032611227115198815
1.0,1e-06,9.227634285133052,9.202612712246925,0.00625539322153168
1.0,1e-06,9.002913390476891,8.289202172487938,0.17842780449723827
1.0,1e-06,5.636693204897288,5.726930527106704,0.06767799165706245
1.0,1e-06,6.583679139651846,6.068712395233938,0.128741686104477
1.0,1e-06,8.437920789241781,8.075844839520082,0.09051898743042486
1.0,1e-06,5.881912132002187,5.613972611111977,0.06698488022255233
1.0,1e-06,5.561076074489927,5.6609466544739355,0.07490293498800638
1.0,1e-06,6.846023510551239,7.078176818950906,0.17411498129975023
1.0,1e-06,6.569636321739308,6.596654329347428,0.02026350570608959
1.0,1e-06,8.449305893024436,8.467313415743899,0.013505642039597365
1.0,1e-06,7.265114128823791,7.065636885014754,0.049869310952259216
1.0,1e-06,7.425718103201076,7.138340797894158,0.07184432632672944
1.0,1e-06,7.3955116056019605,7.462440313595689,0.05019653099529631
1.0,1e-06,6.099839684019534,5.7795794941893766,0.08006504745753928
1.0,1e-06,5.3891283983104925,5.700164007301156,0.23327670674299772
1.0,1e-06,7.223397644916771,6.7485399732330995,0.11871441792091786
1.0,1e-06,7.58881434440746,7.614814241638842,0.01949992292353664
1.0,1e-06,6.8182202815569894,7.251004298549227,0.32458801274417826
1.0,1e-06,6.914036498803126,6.9471587455754475,0.024841685079241005
1.0,1e-06,6.703280855346753,6.273376608750701,0.10747606164901291
1.0,1e-06,7.044115327487164,6.950076490938075,0.02350970913727224
1.0,1e-06,4.654878531730756,4.812207806061548,0.11799695574809377
1.0,1e-06,5.125368982585434,4.805048123433093,0.08008021478808525
1.0,1e-06,7.134893835556825,6.96839847215675,0.04162384085001891
1.0,1e-06,7.377400159043994,7.306531954614774,0.017717051107305037
1.0,1e-06,4.549055875214426,3.9933399993970062,0.13892896895435503
1.0,1e-06,7.699645266367799,7.130723048774758,0.14223055439826027
1.0,1e-06,8.135696009450276,7.835466805815308,0.07505730090874208
1.0,1e-06,5.6353118800710265,5.745209081978386,0.08242290143051956
1.0,1e-06,7.370865938558618,7.426263473287769,0.04154815104686316
1.0,1e-06,6.4412541763384645,6.229197394102629,0.05301419555895892
1.0,1e-06,6.706454832756364,7.074516154097992,0.27604599100622096
1.0,1e-06,7.6288509763605425,7.377188267480799,0.06291567721993596
1.0,1e-06,7.315376098175287,7.886946903548645,0.42867810403001827
1.0,1e-06,7.115780388500817,6.971271659948114,0.036127182138175895
1.0,1e-06,7.469585425582297,7.023632984195609,0.11148811034667205
1.0,1e-06,9.839356211089873,9.24433606468976,0.1487550366000283
1.0,1e-06,5.835997863290016,5.742357058830807,0.023410201114802298
1.0,1e-06,7.932022983722408,7.930338710176865,0.00042106838638589217
1.0,1e-06,6.845672016431685,6.751300494635974,0.023592880448927822
1.0,1e-06,3.4882650210852195,3.9087876535315065,0.3153919743347152
1.0,1e-06,3.751940495268232,3.823399022908,0.05359389572982609
1.0,1e-06,7.707260387526317,7.685707972768992,0.00538810368933107
1.0,1e-06,7.722814908020183,7.861555220214963,0.10405523414608475
1.0,1e-06,8.270001878817707,7.797355680933864,0.11816154947096069
1.0,1e-06,2.642703848565904,2.8290443379675434,0.1397553670512297
1.0,1e-06,8.479806422519664,7.93229704553538,0.1368773442460709
1.0,1e-06,4.737790902644968,4.358587234225573,0.09480091710484873
1.0,1e-06,7.733315607154623,7.9734465174626195,0.18009818273099754
1.0,1e-06,7.199942121339044,7.255295867690032,0.04151530976324125
1.0,1e-06,6.601805326439575,6.521367270460295,0.020109513994819972
1.0,1e-06,4.335866408553095,4.0242522260405895,0.07790354562812629
1.0,1e-06,2.865677005165234,3.1159464702910893,0.1877020988443916
1.0,1e-06,8.843530906846567,8.514878216035223,0.08216317270283602
1.0,1e-06,7.333588634944718,6.546818774646579,0.19669246507453475
1.0,1e-06,7.38242336420471,7.882654513755543,0.37517336216312436
1.0,1e-06,7.822878266247747,8.104523498195187,0.21123392396058005
1.0,1e-06,8.640737210505911,8.986695288282935,0.2594685583327676
1.0,1e-06,7.333319349053495,7.661808030072621,0.24636651076434424
1.0,1e-06,8.913663522551762,8.997613926328258,0.06296280283237232
1.0,1e-06,5.084146401192493,5.000320910317651,0.020956372718710536
1.0,1e-06,8.970390682381687,9.802352421524876,0.6239713043573918
1.0,1e-06,4.5418253002121505,4.673775212120999,0.0989624339316364
1.0,1e-06,6.012550498865166,5.8367563633156685,0.04394853388737441
1.0,1e-06,7.665728420383999,7.424846015468766,0.060220601228808235
1.0,1e-06,7.724284657371713,7.666501142987027,0.014445878596171635
1.0,1e-06,8.427556201519716,8.675347221448316,0.18584326494645032
1.0,1e-06,7.537060458381562,7.140813044769842,0.09906185340293017
1.0,1e-06,6.063823188124809,5.32227798765928,0.18538630011638224
1.0,1e-06,8.109819044143526,8.218911682435099,0.08181947871867967
1.0,1e-06,6.057092644802147,5.903199354580659,0.03847332255537195
1.0,1e-06,4.883191681005041,4.963711200453787,0.06038963958655952
1.0,1e-06,7.917200799041558,8.031693750728447,0.08586971376516717
1.0,1e-06,7.320315918389147,7.340185295543305,0.014902032865618864
1.0,1e-06,7.404088682556257,7.68261984667325,0.20889837308774473
